name,packageId
金猴爺娛樂城-街機捕魚遊戲,com.igs.fafafa
Apex 英雄M,com.tw.fivexgames.apexlegendsmobile
史萊姆傳奇：放置型RPG,com.loadcomplete.slimeidle
Plants vs Zombies™ 2,com.ea.game.pvz2_row
幸福路上的火鍋店,com.lxqd.myhotpotstroy.abroad
麻糬貓收藏 - 療癒的每一天 MochiCat,com.sanctumstudio.mochicat
奔跑小小兵：跑酷遊戲 (Minion Rush),com.gameloft.android.ANMP.GloftDMHM
歡迎光臨！寶可夢咖啡店　～拌拌繽紛趣～,jp.pokemon.pokemoncafemix
噠噠特攻,com.dxx.firenow
Chess - Play and Learn,com.chess
Angry Birds 2,com.rovio.baba
糖果好友傳奇,com.king.candycrush4
我要當房東,com.shimmergames.tenants.gp
Sumikkogurashi Farm,jp.co.imagineer.sumikkogurashi.farm
木塊九宮格 - 解壓益智小遊戲,com.tripledot.woodoku
Subway Surfers,com.kiloo.subwaysurf
狂野飆車9：競速傳奇,com.gameloft.android.ANMP.GloftA9HM
荒野亂鬥,com.supercell.brawlstars
霜臨,com.aof.game
糖果果凍傳奇,com.king.candycrushjellysaga
Mech Arena,com.plarium.mechlegion
貓咪和湯,com.hidea.cat
天天玩樂園,com.haegin.playtogether
Hill Climb Racing 2 - 登山賽車2,com.fingersoft.hcr2
貓咪 SPA 會館,com.hyperbeard.catopia
機甲戰隊 War Robots,com.pixonic.wwr
現代戰爭：線上海戰,com.Shooter.ModernWarships
遊戲王 決鬥聯盟(Yu-Gi-Oh! Duel Links),jp.konami.duellinks
Zombie Tsunami,net.mobigame.zombietsunami
ONE PIECE Bounty Rush,com.bandainamcoent.opbrww
One Punch Man: 英雄之路,com.yqcrtw.android
Battle Prime,com.blitzteam.battleprime
ARK：生存進化,com.studiowildcard.wardrumstudios.ark
DRAGON BALL LEGENDS -七龍珠 激戰傳說-,com.bandainamcoent.dblegends_ww
Pokémon Masters EX,com.dena.a12026418
寶可夢探險尋寶,jp.pokemon.pokemonquest
